Name; Median Time; Min Time; Max Time; Median Frame Index; Min Frame Index; Max Frame Index; Min Depth; Max Depth; Total Time; Mean Time; Time Lower Quartile; Time Upper Quartile; Count Total; Count Median; Count Min; Count Max; Number of frames containing Marker; First Frame Index; Time Min Individual; Time Max Individual; Min Individual Frame; Max Individual Frame; Time at Median Frame
"Unity.RenderPipelines.Core.Runtime.dll!UnityEngine.Rendering::ProfilingScope..ctor()";51.49209;50.28721;270.8477;1372;1147;1446;5;19;15679.9616550179;52.26654;51.07029;51.8856;28896;96;96;192;300;1147;0.0021;44.1331;1251;1446;52.55029
"PlayerLoop";20.3898;19.6544;94.40701;1203;1425;1446;1;1;6232.1365892836;20.77379;20.1887;20.5839;901;3;3;4;300;1147;0.0001;44.6547;1232;1446;20.6867
"UnityEngine.CoreModule.dll!UnityEngine.Rendering::RenderPipelineManager.DoRenderLoop_Internal()";10.7839;10.4818;59.3837;1154;1165;1446;2;2;3287.80688762665;10.95936;10.6974;10.8835;301;1;1;2;300;1147;10.4818;44.1638;1165;1446;11.0198
"UnityEngine.CoreModule.dll!UnityEngine.Rendering::RenderPipeline.InternalRender()";10.767;10.4677;59.3485;1427;1165;1446;3;3;3282.9583940506;10.94319;10.6813;10.8689;301;1;1;2;300;1147;10.4677;44.1427;1165;1446;11.0031
"Unity.RenderPipelines.Universal.Runtime.dll!UnityEngine.Rendering.Universal::UniversalRenderPipeline.Render()";10.7659;10.4663;59.3456;1427;1165;1446;4;4;3282.53478336334;10.94178;10.6799;10.8676;301;1;1;2;300;1147;10.4663;44.1411;1165;1446;11.0014
"Unity.RenderPipelines.Universal.Runtime.dll!UnityEngine.Rendering.Universal::UniversalRenderPipeline.RenderCameraStack()";10.6509;10.3695;59.0742;1166;1165;1446;6;6;3249.6638841629;10.83221;10.5678;10.7568;301;1;1;2;300;1147;10.3695;43.9649;1165;1446;10.8975
"Unity.RenderPipelines.Universal.Runtime.dll!UnityEngine.Rendering.Universal::UniversalRenderPipeline.RenderSingleCamera()";9.1758;8.9132;52.8726;1207;1426;1446;8;8;2797.87809848785;9.326261;9.0882;9.2652;301;1;1;2;300;1147;8.9132;39.2066;1426;1446;9.3738
"EditorLoop";6.408;5.8944;3529.29;1405;1309;1446;1;1;6369.51386767626;21.23171;6.2463;7.0584;901;3;3;4;300;1147;0.5845;2348.821;1446;1446;6.2702
"Unity.RenderPipelines.Universal.Runtime.dll!UnityEngine.Rendering.Universal::ScriptableRenderer.Execute()";5.4074;5.2487;26.9128;1418;1303;1446;10;10;1644.1242980957;5.480414;5.3616;5.4457;301;1;1;2;300;1147;5.2487;19.5345;1303;1446;5.4872
"Unity.RenderPipelines.Universal.Runtime.dll!UnityEngine.Rendering.Universal::ScriptableRenderer.ExecuteBlock()";4.1363;3.9977;22.6759;1370;1312;1446;13;13;1260.2255935967;4.200752;4.1015;4.1717;1204;4;4;8;300;1147;0.2679;9.8887;1196;1446;4.2098
"Unity.RenderPipelines.Universal.Runtime.dll!UnityEngine.Rendering.Universal::ScriptableRenderer.ExecuteRenderPass()";4.0958;3.9574;22.55919;1325;1312;1446;14;14;1247.97539751232;4.159918;4.0614;4.1317;6622;22;22;44;300;1147;0.0528;2.6438;1406;1446;4.1639
"PreLateUpdate.ScriptRunBehaviourLateUpdate";3.8164;3.5935;10.2014;1354;1204;1446;2;2;1152.8469004631;3.842823;3.7656;3.8721;300;1;1;1;300;1147;3.5935;10.2014;1204;1446;3.7176
"LateBehaviourUpdate";3.8152;3.5931;10.1999;1354;1204;1446;3;3;1152.5077958107;3.841693;3.7647;3.8712;300;1;1;1;300;1147;3.5931;10.1999;1204;1446;3.7167
"Crest.dll!Crest::OceanRenderer.LateUpdate()";3.0332;2.8404;8.9053;1323;1221;1446;4;4;917.118599653244;3.057062;2.9915;3.0861;300;1;1;1;300;1147;2.8404;8.9053;1221;1446;2.9569
"Crest.dll!Crest::OceanRenderer.RunUpdate()";3.0299;2.8379;8.8992;1323;1221;1446;5;5;916.238996744156;3.05413;2.9885;3.0829;300;1;1;1;300;1147;2.8379;8.8992;1221;1446;2.9543
"Update.ScriptRunBehaviourUpdate";2.3894;2.2449;3.8144;1431;1444;1446;2;2;720.790401220322;2.402635;2.3519;2.4407;300;1;1;1;300;1147;2.2449;3.8144;1444;1446;2.5695
"BehaviourUpdate";2.3886;2.244;3.8136;1406;1444;1446;3;3;720.517197847366;2.401724;2.3511;2.4393;300;1;1;1;300;1147;2.244;3.8136;1444;1446;2.568
"Unity.RenderPipelines.Core.Runtime.dll!UnityEngine.Rendering::VolumeManager.Update()";2.3339;2.2076;6.663;1400;1390;1446;10;11;710.360297679901;2.367868;2.3078;2.364;602;2;2;4;300;1147;1.1035;2.183;1390;1446;2.3648
"WaitForJobGroupID";2.2238;1.9723;18.0414;1275;1415;1446;4;18;723.018697448773;2.410062;2.1014;2.358599;5798;19;17;41;300;1147;0.0005;14.2584;1167;1446;2.0917
"Crest.dll!Crest::BuildCommandBuffer.BuildAndExecute()";2.127;1.949;7.3965;1418;1414;1446;6;6;643.235198974609;2.144117;2.0953;2.1577;300;1;1;1;300;1147;1.949;7.3965;1414;1446;2.0758
"Semaphore.WaitForSignal";2.0228;1.7671;19.8413;1355;1386;1446;3;20;663.409197769317;2.211364;1.8998;2.1584;8177;27;19;72;300;1147;0;14.2574;1148;1446;1.8996
"Crest.dll!Crest::BuildCommandBuffer.BuildLodData()";1.7641;1.6139;5.7933;1381;1414;1446;7;7;531.512198209763;1.771707;1.744;1.7837;300;1;1;1;300;1147;1.6139;5.7933;1414;1446;1.7406
"PreLateUpdate.ParticleSystemBeginUpdateAll";1.5984;1.4652;14.5855;1292;1375;1446;2;2;539.847398519516;1.799491;1.5513;1.8225;300;1;1;1;300;1147;1.4652;14.5855;1375;1446;1.5602
"ParticleSystem.Update";1.5978;1.465;14.5846;1292;1375;1446;3;3;539.642998218536;1.79881;1.5507;1.8219;300;1;1;1;300;1147;1.465;14.5846;1375;1446;1.5595
"UnityEngine.CoreModule.dll!UnityEngine.Rendering::ScriptableRenderContext.Submit()";1.4414;1.2755;5.1998;1175;1426;1446;10;10;435.331798672676;1.451106;1.3896;1.4806;301;1;1;2;300;1147;1.2755;3.3398;1426;1446;1.4559
"UnityEngine.CoreModule.dll!UnityEngine.Rendering::ScriptableRenderContext.Submit_Internal()";1.44;1.2741;5.1947;1175;1426;1446;11;11;434.849599719048;1.449499;1.3882;1.4791;301;1;1;2;300;1147;1.2741;3.3362;1426;1446;1.4543
"UnityEngine.CoreModule.dll!UnityEngine.Rendering::ScriptableRenderContext.Submit_Internal_Injected()";1.4392;1.2734;5.193;1175;1426;1446;12;12;434.589798569679;1.448633;1.3873;1.4782;301;1;1;2;300;1147;1.2734;3.3353;1426;1446;1.4535
"Crest.dll!Crest::LodDataMgrAnimWaves.BuildCommandBuffer()";1.3427;1.29;2.3807;1242;1200;1446;8;8;404.981998920441;1.34994;1.332;1.355;300;1;1;1;300;1147;1.29;2.3807;1200;1446;1.3274
"UniversalRenderPipeline.RenderSingleCamera: === Main Camera ===";1.268;1.1156;4.7838;1159;1426;1446;13;13;384.335199356079;1.281117;1.2204;1.3083;301;1;1;2;300;1147;1.1156;3.1164;1426;1446;1.2812
"ScriptableRenderer.Execute: _Faoria URP 12.1.15 FWD Renderer";1.2218;1.0736;4.5407;1306;1426;1446;14;14;369.735099196434;1.23245;1.177;1.2573;301;1;1;2;300;1147;1.0736;3.0641;1426;1446;1.2416
"Unity.RenderPipelines.Universal.Runtime.dll!UnityEngine.Rendering.Universal::UniversalRenderPipeline.UpdateVolumeFramework()";1.1886;1.1235;3.3885;1210;1390;1446;8;8;362.039198756218;1.206797;1.1766;1.2051;301;1;1;2;300;1147;1.1235;2.219;1390;1446;1.2037
"Unity.RenderPipelines.Universal.Runtime.dll!UnityEngine.Rendering.Universal::UniversalRenderer.Setup()";1.0131;0.9418;5.4862;1279;1230;1446;11;11;309.051599621773;1.030172;0.9934;1.0332;301;1;1;2;300;1147;0.9418;3.6483;1230;1446;1.0685
